Driver,Age,Year,Series,Team,AVG Finish,TAAF Delta,AF YoY Change,TAAF Delta YoY Change,Advanced to Indy NXT,Advanced to IndyCar,Series-Adj AVG Finish,Series-Adj TAAF Delta,Prospect Score,Age Adjustment,Age-Adjusted Score,xPACE_Oval,xPACE_Road,xPACE_Long_Road,xPACE_Short_Road,xPACE_Street,Indy_xPACE
Vilho Aatola,16,2025,USF Juniors,DEForce Racing,7.63,-2.18,,,,,9.26,-0.83,47.6,0.0,47.6,,89.1,91.0,88.2,,
Jacob Abel,17,2019,USF Pro 2000,Abel Motorsports,8.0,2.5004,,,Yes,Yes,8.0,2.5,57.9,1.5,59.4,23.3,79.1,88.5,76.6,69.6,58.5
Jacob Abel,19,2021,USF Pro 2000,Abel Motorsports,6.61,0.0,,,Yes,Yes,6.61,0.0,57.9,0.0,57.9,23.3,79.1,88.5,76.6,69.6,58.5
Matan Achituv,14,2025,USF Juniors,Velocity Racing Development,14.38,6.71,,,,,16.01,8.06,18.0,5.0,23.0,,80.9,82.9,78.1,,
Logan Adams,19,2025,USF Pro 2000,Comet,12.67,0.0,0.54,0.0,,,12.67,0.0,42.5,0.0,42.5,,70.3,68.7,72.2,68.5,44.8
Logan Adams,18,2024,USF Pro 2000,Comet,12.13,0.0,,,,,12.13,0.0,42.5,0.0,42.5,,70.3,68.7,72.2,68.5,44.8
Enaam Ahmed,21,2021,USF Pro 2000,RP Motorsport,6.89,-1.5829,,,Yes,,6.89,-1.58,76.3,0.0,76.3,93.8,91.8,88.8,92.4,97.5,93.6
Enaam Ahmed,22,2022,USF Pro 2000,Juncos Racing,5.28,0.29,-1.61,1.8729,Yes,,5.28,0.29,76.3,0.0,76.3,93.8,91.8,88.8,92.4,97.5,93.6
Salvador de Alba,23,2023,USF Pro 2000,Exclusive Autosport,7.61,-2.27,0.08,-2.17,Yes,,7.61,-2.27,69.6,0.0,69.6,75.6,95.6,92.0,97.4,76.4,82.3
Salvador de Alba,22,2022,USF Pro 2000,Jay Howard Driver Development,7.53,-0.1,,,Yes,,7.53,-0.1,69.6,0.0,69.6,75.6,95.6,92.0,97.4,76.4,82.3
Neil Alberico,22,2015,USF Pro 2000,Cape Motorsports,6.44,-1.5241,,,Yes,,6.44,-1.52,77.9,0.0,77.9,45.9,91.0,85.3,91.0,100.0,76.4
Jeshua Alianell,20,2025,USF2000,DEForce Racing,11.89,-0.09,-3.19,-2.27,,,11.76,1.04,32.6,0.0,32.6,47.2,81.1,81.9,77.8,97.6,73.8
Jeshua Alianell,19,2024,USF Juniors,DEForce Racing,15.08,2.18,,,,,16.71,3.53,32.6,0.0,32.6,47.2,81.1,81.9,77.8,97.6,73.8
Viktor Andersson,18,2022,USF2000,Velocity Racing Development,14.36,1.74,,,,,14.23,2.87,18.9,0.0,18.9,,77.3,75.9,78.0,61.6,45.1
Nate Aranda,19,2020,USF Pro 2000,Juncos Racing,10.1,6.2216,,,,,10.1,6.22,28.0,0.0,28.0,,60.6,14.9,60.6,45.8,24.1
G3 Argyros,15,2025,USF2000,Pabst Racing,6.89,-0.37,-4.71,-1.23,,,6.76,0.76,48.8,11.2,60.0,74.5,86.9,88.5,86.0,86.6,82.7
G3 Argyros,14,2024,USF Juniors,Jay Howard Driver Development,12.38,-0.21,,,,,14.01,1.14,48.8,5.0,53.8,74.5,86.9,88.5,86.0,86.6,82.7
G3 Argyros,14,2024,USF2000,Jay Howard Driver Development,11.6,0.86,,,,,11.47,1.99,48.8,20.0,68.8,74.5,86.9,88.5,86.0,86.6,82.7
